date,price
2022-01-05,31.75
2022-01-08,31.75
2022-01-11,32.15
2022-01-14,32.65
2022-01-20,33.15
2022-01-25,33.55
2022-01-28,34.05
2022-02-02,34.55
2022-02-08,35.05
2022-02-12,35.55
2022-02-16,36.15
2022-02-18,36.15
2022-02-19,35.75
2022-02-24,36.15
2022-02-26,36.55
2022-03-02,36.55
2022-03-04,37.15
2022-03-05,37.75
2022-03-08,38.35
2022-03-09,39.35
2022-03-10,40.15
2022-03-15,39.75
2022-03-17,38.75
2022-03-22,39.35
2022-03-23,39.95
2022-03-26,40.55
2022-03-29,40.05
2022-03-31,39.45
2022-04-02,38.95
2022-04-05,38.35
2022-04-08,38.85
2022-04-09,38.25
2022-04-19,39.05
2022-04-23,39.65
2022-04-27,38.85
2022-04-29,39.65
2022-05-01,39.65
2022-05-04,40.25
2022-05-06,41.05
2022-05-07,41.85
2022-05-12,41.35
2022-05-16,41.95
2022-05-19,42.95
2022-05-20,42.95
2022-05-24,43.45
2022-05-28,43.85
2022-05-31,43.85
2022-06-01,44.65
2022-06-07,44.05
2022-06-08,44.55
2022-06-14,45.15
2022-06-22,44.65
2022-06-29,45.15
2022-07-02,44.55
2022-07-08,41.55
2022-07-09,40.05
2022-07-14,39.55
2022-07-15,38.75
2022-07-19,38.25
2022-07-23,37.65
2022-07-26,37.05
2022-07-28,37.85
2022-08-02,38.65
2022-08-04,38.25
2022-08-06,37.45
2022-08-09,36.45
2022-08-16,37.05
2022-08-18,36.55
2022-08-20,37.15
2022-08-25,37.95
2022-09-02,35.95
2022-09-03,35.15
2022-09-07,35.95
2022-09-10,35.35
2022-09-14,35.85
2022-09-17,35.45
2022-09-20,34.45
2022-09-23,34.95
2022-09-27,34.35
2022-09-28,33.75
2022-09-30,34.15
2022-10-01,34.65
2022-10-08,35.15
2022-10-22,35.65
2022-10-28,35.35
2022-11-04,35.75
2022-11-05,36.15
2022-11-08,36.65
2022-11-11,36.15
2022-11-17,35.85
2022-11-22,35.45
2022-11-26,35.15
2022-11-30,34.75
2022-12-03,35.05
2022-12-07,34.75
2022-12-09,34.45
2022-12-10,34.15
2022-12-15,34.45
2022-12-16,34.75
2022-12-21,34.45
2022-12-22,34.45
