date,price
2024-01-05,34.75
2024-01-16,35.25
2024-01-18,35.55
2024-01-20,35.85
2024-01-23,36.35
2024-01-25,36.85
2024-01-27,37.25
2024-01-31,37.55
2024-02-13,37.95
2024-02-16,38.35
2024-02-20,38.45
2024-03-05,38.15
2024-03-07,37.85
2024-03-19,38.25
2024-03-20,38.65
2024-03-26,39.15
2024-04-03,39.55
2024-04-04,39.95
2024-04-06,39.95
2024-04-18,40.35
2024-04-20,40.35
2024-04-23,39.95
2024-04-27,40.35
2024-04-27,40.35
2024-05-04,39.85
2024-05-08,39.35
2024-05-10,38.95
2024-05-17,38.55
2024-05-25,38.15
2024-05-31,38.15
2024-06-01,37.85
2024-06-06,37.35
2024-06-12,37.75
2024-06-20,38.05
2024-06-22,38.45
2024-06-29,38.75
2024-07-04,39.15
2024-07-10,38.85
2024-07-25,38.35
2024-08-01,38.05
2024-08-03,37.75
2024-08-06,37.35
2024-08-09,37.05
2024-08-20,36.65
2024-08-23,36.35
2024-09-06,35.85
2024-09-10,35.35
2024-09-20,35.75
2024-09-28,35.25
2024-10-01,34.95
2024-10-05,35.25
2024-10-08,35.65
2024-10-12,35.95
2024-10-17,35.45
2024-10-26,35.75
2024-10-31,35.25
2024-11-05,35.55
2024-11-07,35.95
2024-11-14,35.65
2024-11-20,35.95
2024-11-26,36.35
2024-12-03,36.05
2024-12-10,35.75
2024-12-13,36.15
2024-12-17,36.55
2024-12-20,36.25
