date,price
2021-01-06,23.25
2021-01-09,23.55
2021-01-12,24.05
2021-01-14,24.05
2021-01-16,24.45
2021-01-19,24.25
2021-02-04,24.65
2021-02-06,24.95
2021-02-10,25.45
2021-02-17,25.45
2021-02-20,26.05
2021-03-03,25.75
2021-03-06,26.05
2021-03-09,26.65
2021-03-13,27.05
2021-03-16,27.05
2021-03-17,27.65
2021-03-18,27.25
2021-03-20,26.85
2021-03-24,26.55
2021-03-27,26.15
2021-03-31,26.65
2021-04-17,26.65
2021-04-20,27.25
2021-04-24,26.85
2021-04-30,27.25
2021-05-07,27.75
2021-05-13,27.35
2021-05-17,27.35
2021-05-19,27.85
2021-05-22,27.35
2021-05-26,27.95
2021-06-11,28.25
2021-06-16,28.25
2021-06-24,28.75
2021-06-26,29.05
2021-07-03,29.45
2021-07-10,29.45
2021-07-13,29.75
2021-07-23,29.15
2021-07-28,29.55
2021-07-30,29.95
2021-08-07,29.45
2021-08-12,29.85
2021-08-18,29.35
2021-08-21,28.75
2021-08-26,29.25
2021-09-04,29.25
2021-09-15,29.55
2021-09-16,29.55
2021-09-18,30.05
2021-09-24,30.35
2021-09-28,30.75
2021-09-30,31.15
2021-10-05,31.15
2021-10-11,31.15
2021-10-15,31.15
2021-10-16,31.15
2021-10-19,31.75
2021-10-20,31.55
2021-10-23,31.95
2021-10-28,32.55
2021-11-01,32.55
2021-11-10,32.55
2021-11-16,32.35
2021-11-19,32.05
2021-11-20,31.65
2021-11-24,31.05
2021-11-29,30.45
2021-12-01,30.45
2021-12-02,29.95
2021-12-10,30.55
2021-12-15,30.95
2021-12-22,30.65
2021-12-24,31.15
