date,price
2017-01-05,28.0
2017-01-13,27.4
2017-01-16,27.4
2017-01-19,27.7
2017-02-04,28.3
2017-02-16,28.3
2017-02-23,27.9
2017-03-04,27.4
2017-03-11,27.1
2017-03-16,26.6
2017-03-24,26.6
2017-03-29,26.6
2017-04-01,26.9
2017-04-06,27.3
2017-04-08,27.7
2017-04-16,27.7
2017-04-22,27.4
2017-04-27,27.1
2017-05-04,26.7
2017-05-06,26.4
2017-05-09,26.4
2017-05-13,26.9
2017-05-16,26.9
2017-05-23,27.4
2017-05-31,26.9
2017-06-06,26.3
2017-06-10,26.0
2017-06-16,25.6
2017-06-24,25.1
2017-07-01,25.6
2017-07-05,25.6
2017-07-16,25.6
2017-07-22,26.1
2017-08-02,26.7
2017-08-16,26.7
2017-08-19,26.7
2017-08-30,27.2
2017-09-07,27.5
2017-09-16,27.5
2017-09-27,27.5
2017-09-29,27.9
2017-10-05,27.5
2017-10-12,27.1
2017-10-26,27.1
2017-11-03,27.7
2017-11-07,28.3
2017-11-16,28.3
2017-11-23,28.3
2017-12-08,27.9
2017-12-16,27.9
2017-12-21,27.9
2017-12-26,28.3
2017-12-30,28.0
