date,price
2016-01-08,23.85
2016-01-09,23.55
2016-01-14,23.55
2016-01-19,23.15
2016-01-30,23.15
2016-02-06,22.65
2016-02-12,22.15
2016-02-18,22.15
2016-03-01,22.65
2016-03-04,22.65
2016-03-09,23.25
2016-03-12,23.85
2016-03-17,23.45
2016-03-19,23.85
2016-03-30,24.25
2016-03-31,24.25
2016-04-02,23.85
2016-04-06,23.45
2016-04-09,23.85
2016-04-13,23.85
2016-04-21,23.85
2016-04-23,24.15
2016-04-26,24.55
2016-04-29,25.05
2016-05-05,24.65
2016-05-14,25.25
2016-05-16,25.25
2016-05-19,25.65
2016-05-31,25.65
2016-06-10,25.15
2016-06-14,25.15
2016-06-16,24.75
2016-06-18,24.45
2016-06-23,25.05
2016-06-29,24.65
2016-07-01,24.65
2016-07-12,24.05
2016-07-13,24.05
2016-07-16,23.75
2016-07-22,23.6
2016-07-27,23.6
2016-07-29,23.3
2016-08-02,22.9
2016-08-05,22.6
2016-08-09,23.2
2016-08-16,23.8
2016-08-18,24.3
2016-08-20,24.7
2016-08-26,24.7
2016-08-31,25.1
2016-09-03,24.7
2016-09-13,25.3
2016-09-16,25.3
2016-09-17,24.9
2016-10-01,25.3
2016-10-08,25.9
2016-10-14,25.9
2016-10-16,25.9
2016-10-22,25.9
2016-11-04,25.5
2016-11-09,25.3
2016-11-16,25.3
2016-11-24,25.8
2016-12-07,26.4
2016-12-10,26.8
2016-12-14,27.4
2016-12-16,27.4
