date,price
2017-01-05,26.74
2017-01-13,26.44
2017-01-16,26.44
2017-01-19,26.44
2017-02-04,26.64
2017-02-16,26.64
2017-02-23,26.64
2017-03-04,26.64
2017-03-11,26.14
2017-03-16,25.54
2017-03-24,25.14
2017-03-29,24.74
2017-04-01,25.14
2017-04-06,25.54
2017-04-08,25.94
2017-04-16,25.94
2017-04-22,25.54
2017-04-27,25.24
2017-05-04,24.84
2017-05-06,24.54
2017-05-09,24.54
2017-05-13,25.04
2017-05-16,25.04
2017-05-23,25.54
2017-05-31,25.14
2017-06-06,24.64
2017-06-10,24.34
2017-06-16,23.94
2017-06-24,23.54
2017-07-01,24.04
2017-07-05,24.54
2017-07-16,24.54
2017-07-22,24.84
2017-08-02,25.24
2017-08-16,25.24
2017-08-19,24.74
2017-08-30,25.04
2017-09-07,25.54
2017-09-16,25.54
2017-09-27,25.84
2017-09-29,26.24
2017-10-05,26.24
2017-10-12,25.84
2017-10-26,25.84
2017-11-03,26.44
2017-11-07,26.44
2017-11-16,26.44
2017-11-23,26.84
2017-12-08,26.44
2017-12-16,26.44
2017-12-21,26.84
2017-12-26,27.24
2017-12-30,27.24
