date,price
2019-01-09,25.19
2019-01-11,25.69
2019-01-14,26.09
2019-01-16,25.69
2019-01-22,26.09
2019-01-26,26.09
2019-01-30,25.69
2019-02-05,26.09
2019-02-06,26.09
2019-02-15,26.49
2019-02-16,26.49
2019-02-18,26.89
2019-02-21,27.29
2019-03-01,27.29
2019-03-02,27.69
2019-03-06,27.29
2019-03-11,27.59
2019-03-16,27.29
2019-03-29,27.29
2019-04-16,27.29
2019-04-19,27.79
2019-04-24,28.19
2019-04-27,28.49
2019-04-30,28.09
2019-05-05,28.09
2019-05-10,27.79
2019-05-16,27.79
2019-05-18,28.19
2019-05-25,27.69
2019-05-29,27.39
2019-06-01,27.09
2019-06-05,26.49
2019-06-07,26.09
2019-06-13,25.79
2019-06-16,25.79
2019-06-22,26.19
2019-06-28,26.59
2019-07-06,26.29
2019-07-10,26.59
2019-07-13,27.09
2019-07-16,27.09
2019-07-19,26.69
2019-07-25,26.39
2019-08-06,25.99
2019-08-09,25.99
2019-08-10,25.59
2019-08-16,26.09
2019-08-21,25.79
2019-09-05,25.39
2019-09-07,25.79
2019-09-11,26.09
2019-09-16,26.09
2019-09-21,26.39
2019-09-27,25.99
2019-10-01,25.99
2019-10-04,25.69
2019-10-09,25.69
2019-10-16,25.69
2019-10-19,25.69
2019-10-25,25.39
2019-10-30,25.89
2019-11-01,25.59
2019-11-07,25.89
2019-11-12,25.59
2019-11-15,25.59
2019-11-16,25.59
2019-11-20,25.99
2019-11-21,25.69
2019-11-28,25.99
2019-11-30,25.99
2019-12-05,25.69
2019-12-07,25.99
2019-12-10,26.39
2019-12-14,26.09
2019-12-16,26.09
2019-12-18,26.59
2019-12-20,26.99
2019-12-24,27.49
2019-12-26,26.49
