date,price
2020-01-04,26.89
2020-01-06,27.39
2020-01-10,27.39
2020-01-11,27.89
2020-01-16,27.49
2020-01-18,27.49
2020-01-22,27.79
2020-01-24,27.39
2020-01-25,27.39
2020-01-29,27.09
2020-01-30,26.49
2020-02-05,25.99
2020-02-07,25.69
2020-02-12,25.69
2020-02-16,25.69
2020-02-19,25.99
2020-02-22,25.99
2020-02-26,25.99
2020-02-27,25.59
2020-02-28,26.09
2020-02-29,25.49
2020-03-03,24.89
2020-03-10,24.29
2020-03-11,23.69
2020-03-12,23.69
2020-03-13,23.39
2020-03-14,22.79
2020-03-18,22.19
2020-03-19,22.19
2020-03-20,21.79
2020-03-24,21.29
2020-03-25,20.79
2020-04-01,20.49
2020-04-10,20.19
2020-04-15,19.59
2020-04-18,19.09
2020-04-23,18.49
2020-04-24,17.89
2020-04-30,17.39
2020-05-01,17.69
2020-05-06,18.19
2020-05-08,18.79
2020-05-09,18.79
2020-05-14,18.79
2020-05-19,19.29
2020-05-20,19.79
2020-05-22,20.09
2020-05-23,20.39
2020-05-30,20.09
2020-06-03,20.69
2020-06-05,21.29
2020-06-10,21.89
2020-06-12,21.89
2020-06-17,21.39
2020-06-19,21.99
2020-06-23,22.39
2020-06-27,21.99
2020-07-01,21.69
2020-07-03,22.19
2020-07-11,22.49
2020-07-16,22.19
2020-07-23,22.59
2020-07-30,22.59
2020-08-01,22.29
2020-08-07,22.29
2020-08-14,22.29
2020-08-18,21.99
2020-08-27,22.29
2020-09-01,21.79
2020-09-09,21.19
2020-09-11,21.19
2020-09-12,20.89
2020-09-16,20.89
2020-09-18,21.19
2020-09-22,21.69
2020-09-24,21.29
2020-09-30,21.59
2020-10-02,21.59
2020-10-10,21.89
2020-10-16,21.59
2020-10-20,21.89
2020-10-30,21.49
2020-11-04,20.99
2020-11-05,21.59
2020-11-07,21.89
2020-11-10,22.29
2020-11-12,22.89
2020-11-19,22.89
2020-11-25,23.19
2020-11-27,23.79
2020-12-15,24.19
2020-12-16,24.19
2020-12-19,24.59
2020-12-24,24.19
