date,price
2024-01-05,29.94
2024-01-16,29.94
2024-01-18,29.94
2024-01-20,29.94
2024-01-23,29.94
2024-01-25,29.94
2024-01-27,29.94
2024-01-31,29.94
2024-02-13,29.94
2024-02-16,29.94
2024-02-20,29.94
2024-03-05,29.94
2024-03-07,29.94
2024-03-19,29.94
2024-03-20,29.94
2024-03-26,29.94
2024-04-03,29.94
2024-04-04,29.94
2024-04-06,30.44
2024-04-18,30.44
2024-04-20,30.94
2024-04-23,30.94
2024-04-27,30.94
2024-04-27,30.94
2024-05-04,30.94
2024-05-08,30.94
2024-05-10,31.44
2024-05-17,31.94
2024-05-25,32.44
2024-05-31,32.94
2024-06-01,32.94
2024-06-06,32.94
2024-06-12,32.94
2024-06-20,32.94
2024-06-22,32.94
2024-06-29,32.94
2024-07-04,32.94
2024-07-10,32.94
2024-07-25,32.94
2024-08-01,32.94
2024-08-03,32.94
2024-08-06,32.94
2024-08-09,32.94
2024-08-20,32.94
2024-08-23,32.94
2024-09-06,32.94
2024-09-10,32.94
2024-09-20,32.94
2024-09-28,32.94
2024-10-01,32.94
2024-10-05,32.94
2024-10-08,32.94
2024-10-12,32.94
2024-10-17,32.94
2024-10-26,32.94
2024-10-31,32.94
2024-11-05,32.94
2024-11-07,32.94
2024-11-14,32.94
2024-11-20,32.94
2024-11-26,32.94
2024-12-03,32.94
2024-12-10,32.94
2024-12-13,32.94
2024-12-17,32.94
2024-12-20,32.94
