date,price
2023-01-05,33.29
2023-01-06,32.99
2023-01-07,32.99
2023-01-13,33.29
2023-01-14,33.79
2023-01-17,34.09
2023-01-20,34.69
2023-01-21,35.29
2023-01-24,35.59
2023-01-26,35.19
2023-01-31,35.19
2023-02-01,34.79
2023-02-02,34.49
2023-02-04,34.19
2023-02-08,33.89
2023-02-09,34.39
2023-02-10,34.39
2023-02-15,34.39
2023-02-18,34.69
2023-02-21,34.19
2023-02-22,34.19
2023-02-23,34.49
2023-02-25,33.99
2023-02-28,34.49
2023-03-08,34.99
2023-03-10,34.49
2023-03-14,34.19
2023-03-18,33.59
2023-03-22,32.99
2023-03-24,33.49
2023-03-25,33.89
2023-03-30,34.49
2023-04-04,34.19
2023-04-05,34.79
2023-04-06,35.39
2023-04-07,35.39
2023-04-20,34.99
2023-04-22,34.59
2023-04-26,34.29
2023-04-27,34.69
2023-04-28,34.09
2023-04-29,33.79
2023-05-04,33.79
2023-05-09,33.19
2023-05-11,32.89
2023-05-13,33.29
2023-05-15,33.29
2023-05-16,32.89
2023-05-23,33.19
2023-05-26,33.59
2023-05-30,33.29
2023-06-02,32.79
2023-06-07,33.39
2023-06-10,33.89
2023-06-14,33.39
2023-06-17,33.09
2023-06-20,33.59
2023-06-27,33.29
2023-07-02,33.29
2023-07-04,33.79
2023-07-06,33.29
2023-07-08,33.69
2023-07-11,34.19
2023-07-13,34.49
2023-07-14,34.79
2023-07-15,35.09
2023-07-18,35.39
2023-07-19,35.09
2023-07-20,35.39
2023-07-22,35.69
2023-07-25,36.09
2023-07-26,36.49
2023-08-03,37.09
2023-08-05,36.69
2023-08-09,36.99
2023-08-12,37.69
2023-08-29,38.19
2023-09-01,37.79
2023-09-02,37.49
2023-09-12,37.79
2023-09-15,37.79
2023-09-16,37.79
2023-09-20,37.79
2023-09-23,37.29
2023-09-27,36.79
2023-10-03,36.49
2023-10-04,36.09
2023-10-06,35.59
2023-10-07,35.59
2023-10-11,35.99
2023-10-17,35.69
2023-10-21,36.09
2023-10-31,36.39
2023-11-01,36.09
2023-11-07,35.29
2023-11-09,34.69
2023-11-10,34.29
2023-11-15,34.69
2023-11-16,35.09
2023-11-18,34.49
2023-11-22,34.09
2023-12-05,33.69
2023-12-07,33.19
2023-12-09,32.79
2023-12-19,33.19
2023-12-22,33.59
2023-12-29,33.29
