date,price
2016-01-08,18.14
2016-01-09,18.14
2016-01-14,18.14
2016-01-19,17.94
2016-01-30,17.94
2016-02-06,17.64
2016-02-12,16.94
2016-02-18,16.94
2016-03-01,17.24
2016-03-04,17.24
2016-03-09,17.64
2016-03-12,18.04
2016-03-17,17.84
2016-03-19,18.04
2016-03-30,18.24
2016-03-31,18.24
2016-04-02,18.04
2016-04-06,17.84
2016-04-09,18.04
2016-04-13,18.04
2016-04-21,18.04
2016-04-23,18.04
2016-04-26,18.24
2016-04-29,18.54
2016-05-05,18.34
2016-05-14,18.74
2016-05-16,18.74
2016-05-19,18.94
2016-05-31,18.94
2016-06-10,18.64
2016-06-14,18.64
2016-06-16,18.44
2016-06-18,18.44
2016-06-23,18.44
2016-06-29,18.04
2016-07-01,18.04
2016-07-12,17.34
2016-07-13,17.34
2016-07-16,17.04
2016-07-22,17.04
2016-07-27,17.04
2016-07-29,16.74
2016-08-02,16.54
2016-08-05,16.54
2016-08-09,16.94
2016-08-16,17.34
2016-08-18,17.64
2016-08-20,18.04
2016-08-26,18.04
2016-08-31,18.24
2016-09-03,18.04
2016-09-13,18.44
2016-09-16,18.44
2016-09-17,18.04
2016-10-01,18.24
2016-10-08,18.64
2016-10-14,18.64
2016-10-16,18.64
2016-10-22,18.64
2016-11-04,18.44
2016-11-09,18.44
2016-11-16,18.44
2016-11-24,18.74
2016-12-07,19.34
2016-12-10,19.54
2016-12-14,19.94
2016-12-16,19.94
