date,price
2020-01-04,18.74
2020-01-06,19.04
2020-01-10,18.89
2020-01-11,19.69
2020-01-16,19.69
2020-01-18,19.49
2020-01-22,19.64
2020-01-24,19.64
2020-01-25,19.44
2020-01-29,19.44
2020-01-30,19.04
2020-02-05,19.04
2020-02-07,18.89
2020-02-12,19.19
2020-02-16,19.19
2020-02-19,19.19
2020-02-22,19.49
2020-02-26,19.29
2020-02-27,19.29
2020-02-28,19.29
2020-02-29,18.89
2020-03-03,18.49
2020-03-10,18.09
2020-03-11,17.69
2020-03-12,17.29
2020-03-13,16.89
2020-03-14,16.49
2020-03-18,16.09
2020-03-19,15.69
2020-03-20,15.29
2020-03-24,15.54
2020-03-25,15.14
2020-04-01,14.84
2020-04-10,14.84
2020-04-15,14.84
2020-04-18,15.34
2020-04-23,15.04
2020-04-24,15.04
2020-04-30,15.04
2020-05-01,15.34
2020-05-06,15.49
2020-05-08,15.89
2020-05-09,16.19
2020-05-14,16.39
2020-05-19,16.69
2020-05-20,16.99
2020-05-22,16.99
2020-05-23,16.99
2020-05-30,16.84
2020-06-03,17.24
2020-06-05,17.64
2020-06-10,18.04
2020-06-12,17.89
2020-06-17,17.59
2020-06-19,17.99
2020-06-23,18.39
2020-06-27,17.99
2020-07-01,17.59
2020-07-03,17.99
2020-07-11,18.14
2020-07-16,17.99
2020-07-23,18.19
2020-07-30,17.99
2020-08-01,17.84
2020-08-07,18.04
2020-08-14,18.19
2020-08-18,18.19
2020-08-27,18.34
2020-09-01,18.04
2020-09-09,18.04
2020-09-11,17.74
2020-09-12,17.74
2020-09-16,17.74
2020-09-18,18.04
2020-09-22,18.34
2020-09-24,18.04
2020-09-30,18.34
2020-10-02,18.14
2020-10-10,18.14
2020-10-16,17.84
2020-10-20,17.84
2020-10-30,17.64
2020-11-04,17.34
2020-11-05,17.54
2020-11-07,17.69
2020-11-10,17.69
2020-11-12,17.99
2020-11-19,17.79
2020-11-25,17.94
2020-11-27,18.34
2020-12-15,18.54
2020-12-16,18.54
2020-12-19,18.74
2020-12-24,18.54
