date,price
2018-01-09,20.69
2018-01-16,20.69
2018-01-18,20.99
2018-01-27,20.99
2018-02-03,20.99
2018-02-09,20.79
2018-02-14,20.49
2018-02-16,20.19
2018-02-23,20.49
2018-03-01,20.49
2018-03-06,20.19
2018-03-16,20.19
2018-03-22,20.39
2018-03-24,20.39
2018-03-29,20.39
2018-04-06,20.19
2018-04-18,20.49
2018-04-21,20.49
2018-04-25,20.69
2018-05-01,20.89
2018-05-08,20.69
2018-05-11,21.09
2018-05-16,21.09
2018-05-17,21.39
2018-05-19,21.79
2018-05-26,21.44
2018-05-29,21.14
2018-07-07,21.14
2018-07-10,21.14
2018-07-17,20.84
2018-07-24,21.04
2018-07-27,21.34
2018-08-03,21.14
2018-08-09,21.34
2018-08-15,21.19
2018-08-16,21.19
2018-08-17,21.04
2018-08-18,21.19
2018-08-21,21.19
2018-08-22,21.19
2018-08-25,21.39
2018-08-28,21.39
2018-09-01,21.59
2018-09-04,21.59
2018-09-13,21.79
2018-09-16,21.79
2018-09-20,21.64
2018-09-26,21.94
2018-10-02,22.14
2018-10-05,22.34
2018-10-10,22.04
2018-10-13,21.74
2018-10-16,21.74
2018-10-18,21.44
2018-10-20,21.29
2018-10-25,21.14
2018-11-07,20.94
2018-11-10,20.79
2018-11-15,20.64
2018-11-16,20.64
2018-11-22,20.49
2018-11-24,20.49
2018-11-27,20.19
2018-11-29,20.19
2018-11-30,20.19
2018-12-04,20.34
2018-12-07,20.09
2018-12-13,20.09
2018-12-16,20.09
2018-12-20,19.94
2018-12-25,18.94
2018-12-27,18.94
