date,price
2021-01-06,18.84
2021-01-09,18.99
2021-01-12,19.29
2021-01-14,19.29
2021-01-16,19.49
2021-01-19,19.49
2021-02-04,19.69
2021-02-06,19.84
2021-02-10,20.14
2021-02-17,20.14
2021-02-20,20.54
2021-03-03,20.39
2021-03-06,20.54
2021-03-09,20.94
2021-03-13,21.14
2021-03-16,21.14
2021-03-17,21.54
2021-03-18,21.34
2021-03-20,21.14
2021-03-24,20.99
2021-03-27,20.79
2021-03-31,21.09
2021-04-17,21.09
2021-04-20,21.49
2021-04-24,21.29
2021-04-30,21.49
2021-05-07,21.79
2021-05-13,21.59
2021-05-17,21.59
2021-05-19,21.89
2021-05-22,21.59
2021-05-26,21.99
2021-06-11,22.14
2021-06-16,22.14
2021-06-24,22.44
2021-06-26,22.59
2021-07-03,22.79
2021-07-10,22.79
2021-07-13,22.94
2021-07-23,22.54
2021-07-28,22.74
2021-07-30,22.94
2021-08-07,22.64
2021-08-12,22.84
2021-08-18,22.54
2021-08-21,22.14
2021-08-26,22.44
2021-09-04,22.44
2021-09-15,22.59
2021-09-16,22.59
2021-09-18,22.89
2021-09-24,23.04
2021-09-28,23.24
2021-09-30,23.44
2021-10-05,23.44
2021-10-11,23.44
2021-10-15,23.44
2021-10-16,23.44
2021-10-19,23.84
2021-10-20,23.84
2021-10-23,24.04
2021-10-28,24.44
2021-11-01,24.44
2021-11-10,24.44
2021-11-16,24.44
2021-11-19,24.29
2021-11-20,24.09
2021-11-24,23.69
2021-11-29,23.29
2021-12-01,23.29
2021-12-02,22.99
2021-12-10,23.39
2021-12-15,23.59
2021-12-22,23.44
2021-12-24,23.74
