date,price
2019-01-09,19.24
2019-01-11,19.54
2019-01-14,19.54
2019-01-16,19.34
2019-01-22,19.54
2019-01-26,19.34
2019-01-30,19.34
2019-02-05,19.54
2019-02-06,19.54
2019-02-15,19.54
2019-02-16,19.54
2019-02-18,19.74
2019-02-21,19.94
2019-03-01,19.94
2019-03-02,20.14
2019-03-06,20.14
2019-03-11,20.44
2019-03-16,20.64
2019-03-29,20.84
2019-04-16,20.84
2019-04-19,21.14
2019-04-24,21.34
2019-04-27,21.49
2019-04-30,21.29
2019-05-05,21.09
2019-05-10,20.79
2019-05-16,20.79
2019-05-18,20.99
2019-05-25,20.69
2019-05-29,20.54
2019-06-01,20.34
2019-06-05,20.04
2019-06-07,19.84
2019-06-13,19.69
2019-06-16,19.69
2019-06-22,19.89
2019-06-28,20.09
2019-07-06,19.94
2019-07-10,20.09
2019-07-13,20.39
2019-07-16,20.39
2019-07-19,20.39
2019-07-25,20.24
2019-08-06,19.94
2019-08-09,19.79
2019-08-10,19.79
2019-08-16,20.09
2019-08-21,19.89
2019-09-05,19.69
2019-09-07,19.89
2019-09-11,20.04
2019-09-16,20.04
2019-09-21,20.19
2019-09-27,19.99
2019-10-01,19.79
2019-10-04,19.64
2019-10-09,19.84
2019-10-16,19.84
2019-10-19,19.64
2019-10-25,19.49
2019-10-30,19.49
2019-11-01,19.34
2019-11-07,19.64
2019-11-12,19.94
2019-11-15,20.09
2019-11-16,20.09
2019-11-20,20.09
2019-11-21,19.94
2019-11-28,19.94
2019-11-30,19.79
2019-12-05,19.79
2019-12-07,19.79
2019-12-10,19.99
2019-12-14,19.69
2019-12-16,19.69
2019-12-18,19.69
2019-12-20,19.69
2019-12-24,19.89
2019-12-26,18.89
