date,price
2022-01-05,24.14
2022-01-08,24.14
2022-01-11,24.34
2022-01-14,24.64
2022-01-20,24.94
2022-01-25,25.54
2022-01-28,26.14
2022-02-02,26.74
2022-02-08,27.24
2022-02-12,27.74
2022-02-16,28.34
2022-02-18,28.34
2022-02-19,27.94
2022-02-24,28.34
2022-02-26,28.74
2022-03-02,28.74
2022-03-04,29.34
2022-03-05,29.94
2022-03-08,30.54
2022-03-09,31.54
2022-03-10,32.34
2022-03-15,31.94
2022-03-17,30.94
2022-03-22,31.54
2022-03-23,32.14
2022-03-26,32.74
2022-03-29,32.24
2022-03-31,31.64
2022-04-02,31.14
2022-04-05,30.54
2022-04-08,31.04
2022-04-09,30.44
2022-04-19,31.24
2022-04-23,31.84
2022-04-27,31.04
2022-04-29,31.84
2022-05-01,32.84
2022-05-04,33.44
2022-05-06,34.24
2022-05-07,34.74
2022-05-12,34.24
2022-05-16,35.24
2022-05-19,35.84
2022-05-20,35.84
2022-05-24,36.34
2022-05-28,36.74
2022-05-31,36.74
2022-06-01,37.24
2022-06-07,36.84
2022-06-08,37.14
2022-06-14,37.54
2022-06-22,37.24
2022-06-29,37.54
2022-07-02,37.14
2022-07-08,35.34
2022-07-09,34.44
2022-07-14,34.14
2022-07-15,33.64
2022-07-19,33.34
2022-07-23,32.94
2022-07-26,32.54
2022-07-28,33.34
2022-08-02,34.14
2022-08-04,33.74
2022-08-06,32.94
2022-08-09,32.34
2022-08-16,32.94
2022-08-18,32.64
2022-08-20,33.04
2022-08-25,33.54
2022-09-02,32.34
2022-09-03,31.84
2022-09-07,32.64
2022-09-10,32.24
2022-09-14,32.74
2022-09-17,32.54
2022-09-20,31.94
2022-09-23,32.24
2022-09-27,31.84
2022-09-28,31.44
2022-09-30,31.64
2022-10-01,31.94
2022-10-08,32.44
2022-10-22,32.94
2022-10-28,32.84
2022-11-04,33.24
2022-11-05,33.64
2022-11-08,34.14
2022-11-11,33.84
2022-11-17,33.74
2022-11-22,33.54
2022-11-26,32.84
2022-11-30,32.24
2022-12-03,32.54
2022-12-07,32.39
2022-12-09,32.39
2022-12-10,32.39
2022-12-15,32.69
2022-12-16,32.99
2022-12-21,32.69
2022-12-22,32.69
