date,price
2024-01-05,32.79
2024-01-16,33.29
2024-01-18,33.59
2024-01-20,33.89
2024-01-23,34.39
2024-01-25,34.89
2024-01-27,35.29
2024-01-31,35.59
2024-02-13,35.99
2024-02-16,35.99
2024-02-20,36.09
2024-03-05,35.79
2024-03-07,35.49
2024-03-19,35.89
2024-03-20,36.29
2024-03-26,36.79
2024-04-03,37.19
2024-04-04,37.59
2024-04-06,37.59
2024-04-18,37.99
2024-04-20,37.99
2024-04-23,37.59
2024-04-27,37.99
2024-04-27,37.99
2024-05-04,37.49
2024-05-08,36.99
2024-05-10,36.59
2024-05-17,36.19
2024-05-25,35.79
2024-05-31,35.79
2024-06-01,35.49
2024-06-06,34.99
2024-06-12,35.39
2024-06-20,35.69
2024-06-22,36.09
2024-06-29,36.39
2024-07-04,36.79
2024-07-10,36.49
2024-07-25,35.99
2024-08-01,35.69
2024-08-03,35.39
2024-08-06,34.99
2024-08-09,34.69
2024-08-20,34.29
2024-08-23,33.99
2024-09-06,33.49
2024-09-10,32.99
2024-09-20,33.39
2024-09-28,32.89
2024-10-01,32.59
2024-10-05,32.89
2024-10-08,33.29
2024-10-12,33.59
2024-10-17,33.09
2024-10-26,33.39
2024-10-31,32.89
2024-11-05,33.19
2024-11-07,33.59
2024-11-14,33.29
2024-11-20,33.59
2024-11-26,33.99
2024-12-03,33.69
2024-12-10,33.39
2024-12-13,33.79
2024-12-17,34.19
2024-12-20,33.89
