date,price
2024-01-05,32.64
2024-01-16,33.14
2024-01-18,33.44
2024-01-20,33.74
2024-01-23,34.24
2024-01-25,34.74
2024-01-27,35.14
2024-01-31,35.44
2024-02-13,35.84
2024-02-16,36.24
2024-02-20,36.34
2024-03-05,36.04
2024-03-07,35.74
2024-03-19,36.14
2024-03-20,36.54
2024-03-26,37.04
2024-04-03,37.44
2024-04-04,37.84
2024-04-06,37.84
2024-04-18,38.24
2024-04-20,38.24
2024-04-23,37.84
2024-04-27,38.24
2024-04-27,38.24
2024-05-04,37.74
2024-05-08,37.24
2024-05-10,36.84
2024-05-17,36.44
2024-05-25,36.04
2024-05-31,36.04
2024-06-01,35.74
2024-06-06,35.24
2024-06-12,35.64
2024-06-20,35.94
2024-06-22,36.34
2024-06-29,36.64
2024-07-04,37.04
2024-07-10,36.74
2024-07-25,36.24
2024-08-01,35.94
2024-08-03,35.64
2024-08-06,35.24
2024-08-09,34.94
2024-08-20,34.54
2024-08-23,34.24
2024-09-06,33.74
2024-09-10,33.24
2024-09-20,33.64
2024-09-28,33.14
2024-10-01,32.84
2024-10-05,33.14
2024-10-08,33.54
2024-10-12,33.84
2024-10-17,33.34
2024-10-26,33.64
2024-10-31,33.14
2024-11-05,33.44
2024-11-07,33.84
2024-11-14,33.54
2024-11-20,33.84
2024-11-26,34.24
2024-12-03,33.94
2024-12-10,33.64
2024-12-13,34.04
2024-12-17,34.44
2024-12-20,34.14
