date,price
2019-01-09,23.24
2019-01-11,23.74
2019-01-14,23.74
2019-01-16,23.34
2019-01-22,23.74
2019-01-26,23.34
2019-01-30,23.34
2019-02-05,23.74
2019-02-06,23.74
2019-02-15,23.74
2019-02-16,23.74
2019-02-18,24.14
2019-02-21,24.54
2019-03-01,24.54
2019-03-02,24.94
2019-03-06,24.94
2019-03-11,25.44
2019-03-16,25.84
2019-03-29,26.24
2019-04-16,26.24
2019-04-19,26.74
2019-04-24,27.14
2019-04-27,27.44
2019-04-30,27.04
2019-05-05,26.64
2019-05-10,26.14
2019-05-16,26.14
2019-05-18,26.54
2019-05-25,26.04
2019-05-29,25.74
2019-06-01,25.34
2019-06-05,24.74
2019-06-07,24.34
2019-06-13,24.04
2019-06-16,24.04
2019-06-22,24.44
2019-06-28,24.84
2019-07-06,24.54
2019-07-10,24.84
2019-07-13,25.34
2019-07-16,25.34
2019-07-19,25.34
2019-07-25,25.04
2019-08-06,24.54
2019-08-09,24.24
2019-08-10,24.24
2019-08-16,24.74
2019-08-21,24.34
2019-09-05,23.94
2019-09-07,24.34
2019-09-11,24.64
2019-09-16,24.64
2019-09-21,24.94
2019-09-27,24.54
2019-10-01,24.14
2019-10-04,23.84
2019-10-09,24.24
2019-10-16,24.24
2019-10-19,23.84
2019-10-25,23.54
2019-10-30,23.54
2019-11-01,23.24
2019-11-07,23.74
2019-11-12,24.24
2019-11-15,24.54
2019-11-16,24.54
2019-11-20,24.54
2019-11-21,24.24
2019-11-28,24.24
2019-11-30,23.94
2019-12-05,23.94
2019-12-07,23.94
2019-12-10,24.34
2019-12-14,23.84
2019-12-16,23.84
2019-12-18,23.84
2019-12-20,23.84
2019-12-24,24.24
2019-12-26,23.24
