date,price
2023-01-05,33.14
2023-01-06,32.84
2023-01-07,32.54
2023-01-13,32.84
2023-01-14,33.34
2023-01-17,33.64
2023-01-20,34.24
2023-01-21,34.84
2023-01-24,35.14
2023-01-26,34.74
2023-01-31,34.74
2023-02-01,34.34
2023-02-02,34.04
2023-02-04,33.74
2023-02-08,33.44
2023-02-09,33.94
2023-02-10,33.94
2023-02-15,33.94
2023-02-18,34.24
2023-02-21,33.74
2023-02-22,33.74
2023-02-23,34.04
2023-02-25,33.54
2023-02-28,34.04
2023-03-08,34.54
2023-03-10,34.04
2023-03-14,33.74
2023-03-18,33.14
2023-03-22,32.54
2023-03-24,33.04
2023-03-25,33.44
2023-03-30,34.04
2023-04-04,33.74
2023-04-05,34.34
2023-04-06,34.94
2023-04-07,34.94
2023-04-20,34.54
2023-04-22,34.14
2023-04-26,33.84
2023-04-27,34.24
2023-04-28,33.64
2023-04-29,33.34
2023-05-04,33.34
2023-05-09,32.74
2023-05-11,32.44
2023-05-13,32.84
2023-05-15,32.84
2023-05-16,32.44
2023-05-23,32.74
2023-05-26,33.14
2023-05-30,32.84
2023-06-02,32.34
2023-06-07,32.94
2023-06-10,33.44
2023-06-14,32.94
2023-06-17,32.64
2023-06-20,33.14
2023-06-27,32.84
2023-07-02,32.84
2023-07-04,33.34
2023-07-06,32.84
2023-07-08,33.24
2023-07-11,33.74
2023-07-13,34.04
2023-07-14,34.34
2023-07-15,34.64
2023-07-18,34.94
2023-07-19,34.64
2023-07-20,34.94
2023-07-22,35.24
2023-07-25,35.64
2023-07-26,36.04
2023-08-03,36.64
2023-08-05,36.24
2023-08-09,36.54
2023-08-12,37.24
2023-08-29,37.74
2023-09-01,37.34
2023-09-02,37.04
2023-09-12,37.34
2023-09-15,37.74
2023-09-16,38.14
2023-09-20,38.14
2023-09-23,37.64
2023-09-27,37.14
2023-10-03,36.84
2023-10-04,36.44
2023-10-06,35.94
2023-10-07,35.44
2023-10-11,35.84
2023-10-17,35.54
2023-10-21,35.94
2023-10-31,36.24
2023-11-01,35.94
2023-11-07,35.14
2023-11-09,34.54
2023-11-10,34.14
2023-11-15,34.54
2023-11-16,34.94
2023-11-18,34.34
2023-11-22,33.94
2023-12-05,33.54
2023-12-07,33.04
2023-12-09,32.64
2023-12-19,33.04
2023-12-22,33.44
2023-12-29,33.14
