date,price
2018-01-09,25.49
2018-01-16,25.49
2018-01-18,25.99
2018-01-27,25.99
2018-02-03,25.99
2018-02-09,25.59
2018-02-14,25.09
2018-02-16,24.59
2018-02-23,25.09
2018-03-01,25.39
2018-03-06,24.89
2018-03-16,24.89
2018-03-22,25.29
2018-03-24,25.59
2018-03-29,25.89
2018-04-06,25.49
2018-04-18,25.99
2018-04-21,25.69
2018-04-25,26.09
2018-05-01,26.49
2018-05-08,26.09
2018-05-11,26.69
2018-05-16,26.69
2018-05-17,27.19
2018-05-19,27.79
2018-05-26,27.24
2018-05-29,26.74
2018-07-07,26.74
2018-07-10,26.74
2018-07-17,26.24
2018-07-24,26.64
2018-07-27,27.14
2018-08-03,26.74
2018-08-09,27.14
2018-08-15,26.84
2018-08-16,26.84
2018-08-17,26.54
2018-08-18,26.84
2018-08-21,26.74
2018-08-22,26.74
2018-08-25,27.14
2018-08-28,27.14
2018-09-01,27.54
2018-09-04,27.54
2018-09-13,27.94
2018-09-16,27.94
2018-09-20,27.64
2018-09-26,28.14
2018-10-02,28.54
2018-10-05,28.94
2018-10-10,28.44
2018-10-13,27.94
2018-10-16,27.94
2018-10-18,27.44
2018-10-20,27.14
2018-10-25,26.84
2018-11-07,26.44
2018-11-10,26.14
2018-11-15,25.84
2018-11-16,25.84
2018-11-22,25.54
2018-11-24,25.54
2018-11-27,25.04
2018-11-29,25.04
2018-11-30,24.64
2018-12-04,24.94
2018-12-07,24.44
2018-12-13,24.44
2018-12-16,24.44
2018-12-20,24.14
2018-12-25,23.14
2018-12-27,22.74
