date,price
2020-01-04,22.94
2020-01-06,23.44
2020-01-10,23.14
2020-01-11,23.74
2020-01-16,23.74
2020-01-18,23.34
2020-01-22,23.64
2020-01-24,23.64
2020-01-25,23.24
2020-01-29,23.24
2020-01-30,22.64
2020-02-05,22.64
2020-02-07,22.34
2020-02-12,22.84
2020-02-16,22.84
2020-02-19,22.84
2020-02-22,23.34
2020-02-26,22.94
2020-02-27,22.94
2020-02-28,22.94
2020-02-29,22.34
2020-03-03,21.74
2020-03-10,21.14
2020-03-11,20.54
2020-03-12,19.94
2020-03-13,19.34
2020-03-14,18.74
2020-03-18,18.14
2020-03-19,17.54
2020-03-20,16.94
2020-03-24,16.44
2020-03-25,15.84
2020-04-01,15.24
2020-04-10,15.24
2020-04-15,15.24
2020-04-18,15.74
2020-04-23,15.44
2020-04-24,15.44
2020-04-30,15.44
2020-05-01,15.94
2020-05-06,16.24
2020-05-08,16.84
2020-05-09,17.34
2020-05-14,17.74
2020-05-19,18.24
2020-05-20,18.74
2020-05-22,18.74
2020-05-23,18.74
2020-05-30,18.44
2020-06-03,19.04
2020-06-05,19.64
2020-06-10,20.24
2020-06-12,19.94
2020-06-17,19.44
2020-06-19,20.04
2020-06-23,20.64
2020-06-27,20.04
2020-07-01,19.44
2020-07-03,20.04
2020-07-11,20.34
2020-07-16,20.04
2020-07-23,20.44
2020-07-30,20.04
2020-08-01,19.74
2020-08-07,20.14
2020-08-14,20.44
2020-08-18,20.44
2020-08-27,20.74
2020-09-01,20.24
2020-09-09,20.24
2020-09-11,19.74
2020-09-12,19.74
2020-09-16,19.74
2020-09-18,20.24
2020-09-22,20.74
2020-09-24,20.24
2020-09-30,20.74
2020-10-02,20.34
2020-10-10,20.54
2020-10-16,20.04
2020-10-20,20.04
2020-10-30,19.64
2020-11-04,19.14
2020-11-05,19.54
2020-11-07,19.84
2020-11-10,19.84
2020-11-12,20.34
2020-11-19,19.94
2020-11-25,20.24
2020-11-27,20.84
2020-12-15,21.24
2020-12-16,21.24
2020-12-19,21.64
2020-12-24,21.24
