date,price
2016-01-08,21.49
2016-01-09,21.19
2016-01-14,21.19
2016-01-19,20.79
2016-01-30,20.79
2016-02-06,20.29
2016-02-12,19.59
2016-02-18,19.59
2016-03-01,20.09
2016-03-04,20.09
2016-03-09,20.69
2016-03-12,21.29
2016-03-17,20.89
2016-03-19,21.29
2016-03-30,21.69
2016-03-31,21.69
2016-04-02,21.29
2016-04-06,20.89
2016-04-09,21.29
2016-04-13,21.29
2016-04-21,21.29
2016-04-23,21.59
2016-04-26,21.99
2016-04-29,22.49
2016-05-05,22.09
2016-05-14,22.69
2016-05-16,22.69
2016-05-19,23.09
2016-05-31,23.09
2016-06-10,22.59
2016-06-14,22.59
2016-06-16,22.19
2016-06-18,21.89
2016-06-23,22.49
2016-06-29,22.09
2016-07-01,22.09
2016-07-12,21.39
2016-07-13,21.39
2016-07-16,21.09
2016-07-22,21.09
2016-07-27,21.09
2016-07-29,20.79
2016-08-02,20.39
2016-08-05,20.09
2016-08-09,20.69
2016-08-16,21.29
2016-08-18,21.79
2016-08-20,22.19
2016-08-26,22.19
2016-08-31,22.59
2016-09-03,22.19
2016-09-13,22.79
2016-09-16,22.79
2016-09-17,22.39
2016-10-01,22.79
2016-10-08,23.39
2016-10-14,23.39
2016-10-16,23.39
2016-10-22,23.39
2016-11-04,22.99
2016-11-09,22.79
2016-11-16,22.79
2016-11-24,23.29
2016-12-07,23.89
2016-12-10,24.29
2016-12-14,24.89
2016-12-16,24.89
