date,price
2022-01-05,30.24
2022-01-08,30.24
2022-01-11,30.64
2022-01-14,31.14
2022-01-20,31.64
2022-01-25,32.24
2022-01-28,32.84
2022-02-02,33.44
2022-02-08,33.94
2022-02-12,34.44
2022-02-16,35.04
2022-02-18,35.04
2022-02-19,34.64
2022-02-24,35.04
2022-02-26,35.44
2022-03-02,35.44
2022-03-04,36.04
2022-03-05,36.64
2022-03-08,37.24
2022-03-09,38.24
2022-03-10,39.04
2022-03-15,38.64
2022-03-17,37.64
2022-03-22,38.24
2022-03-23,38.84
2022-03-26,39.44
2022-03-29,38.94
2022-03-31,38.34
2022-04-02,37.84
2022-04-05,37.24
2022-04-08,37.74
2022-04-09,37.14
2022-04-19,37.94
2022-04-23,38.54
2022-04-27,37.74
2022-04-29,38.54
2022-05-01,38.54
2022-05-04,39.14
2022-05-06,39.94
2022-05-07,40.74
2022-05-12,40.24
2022-05-16,40.84
2022-05-19,41.84
2022-05-20,41.84
2022-05-24,42.34
2022-05-28,42.74
2022-05-31,42.74
2022-06-01,43.54
2022-06-07,42.94
2022-06-08,43.44
2022-06-14,44.04
2022-06-22,43.54
2022-06-29,44.04
2022-07-02,43.44
2022-07-08,40.44
2022-07-09,38.94
2022-07-14,38.44
2022-07-15,37.64
2022-07-19,37.14
2022-07-23,36.54
2022-07-26,35.94
2022-07-28,36.74
2022-08-02,37.54
2022-08-04,37.14
2022-08-06,36.34
2022-08-09,35.34
2022-08-16,35.94
2022-08-18,35.44
2022-08-20,36.04
2022-08-25,36.84
2022-09-02,34.84
2022-09-03,34.04
2022-09-07,34.84
2022-09-10,34.24
2022-09-14,34.74
2022-09-17,34.34
2022-09-20,33.34
2022-09-23,33.84
2022-09-27,33.24
2022-09-28,32.64
2022-09-30,33.04
2022-10-01,33.54
2022-10-08,34.04
2022-10-22,34.54
2022-10-28,34.24
2022-11-04,34.64
2022-11-05,35.04
2022-11-08,35.54
2022-11-11,35.04
2022-11-17,34.74
2022-11-22,34.34
2022-11-26,33.64
2022-11-30,33.04
2022-12-03,33.34
2022-12-07,33.04
2022-12-09,32.74
2022-12-10,32.24
2022-12-15,32.54
2022-12-16,32.84
2022-12-21,32.54
2022-12-22,32.54
