date,price
2023-01-05,34.78
2023-01-06,34.48
2023-01-07,34.18
2023-01-13,34.48
2023-01-14,34.98
2023-01-17,35.28
2023-01-20,35.88
2023-01-21,36.48
2023-01-24,36.78
2023-01-26,36.38
2023-01-31,36.38
2023-02-01,35.98
2023-02-02,35.68
2023-02-04,35.38
2023-02-08,35.08
2023-02-09,35.58
2023-02-10,35.98
2023-02-15,35.98
2023-02-18,36.28
2023-02-21,35.78
2023-02-22,35.78
2023-02-23,36.08
2023-02-25,35.58
2023-02-28,36.08
2023-03-08,36.58
2023-03-10,36.08
2023-03-14,35.78
2023-03-18,35.18
2023-03-22,34.58
2023-03-24,35.08
2023-03-25,35.48
2023-03-30,36.08
2023-04-04,35.78
2023-04-05,36.38
2023-04-06,36.98
2023-04-07,36.98
2023-04-20,36.58
2023-04-22,36.18
2023-04-26,35.88
2023-04-27,36.28
2023-04-28,35.68
2023-04-29,35.38
2023-05-04,35.38
2023-05-09,34.78
2023-05-11,34.48
2023-05-13,34.88
2023-05-15,34.88
2023-05-16,34.48
2023-05-23,34.78
2023-05-26,35.18
2023-05-30,34.88
2023-06-02,34.38
2023-06-07,34.98
2023-06-10,35.48
2023-06-14,34.98
2023-06-17,34.68
2023-06-20,35.18
2023-06-27,34.88
2023-07-02,34.88
2023-07-04,35.38
2023-07-06,34.88
2023-07-08,35.28
2023-07-11,35.78
2023-07-13,36.08
2023-07-14,36.38
2023-07-15,36.68
2023-07-18,36.98
2023-07-19,36.68
2023-07-20,36.98
2023-07-22,37.28
2023-07-25,37.68
2023-07-26,38.08
2023-08-03,38.68
2023-08-05,38.28
2023-08-09,38.58
2023-08-12,39.28
2023-08-29,39.78
2023-09-01,39.38
2023-09-02,39.08
2023-09-12,39.38
2023-09-15,39.78
2023-09-16,40.18
2023-09-20,40.18
2023-09-23,39.68
2023-09-27,39.18
2023-10-03,38.88
2023-10-04,38.48
2023-10-06,37.98
2023-10-07,37.48
2023-10-11,37.88
2023-10-17,37.58
2023-10-21,37.98
2023-10-31,38.28
2023-11-01,37.98
2023-11-07,35.48
2023-11-09,34.88
2023-11-10,34.48
2023-11-15,34.88
2023-11-16,35.28
2023-11-18,34.68
2023-11-22,34.28
2023-12-05,33.88
2023-12-07,33.38
2023-12-09,32.98
2023-12-19,33.38
2023-12-22,33.78
2023-12-29,33.48
