date,price
2020-01-04,25.68
2020-01-06,26.18
2020-01-10,25.88
2020-01-11,26.48
2020-01-16,26.48
2020-01-18,26.08
2020-01-22,26.38
2020-01-24,26.38
2020-01-25,25.98
2020-01-29,25.98
2020-01-30,25.38
2020-02-05,25.38
2020-02-07,25.08
2020-02-12,25.58
2020-02-16,25.58
2020-02-19,25.58
2020-02-22,26.08
2020-02-26,25.68
2020-02-27,25.68
2020-02-28,25.68
2020-02-29,25.08
2020-03-03,24.48
2020-03-10,23.88
2020-03-11,23.28
2020-03-12,22.68
2020-03-13,22.08
2020-03-14,21.48
2020-03-18,20.88
2020-03-19,20.28
2020-03-20,19.68
2020-03-24,19.18
2020-03-25,18.58
2020-04-01,17.98
2020-04-10,17.38
2020-04-15,16.78
2020-04-18,17.28
2020-04-23,16.68
2020-04-24,16.68
2020-04-30,16.68
2020-05-01,17.18
2020-05-06,17.48
2020-05-08,18.08
2020-05-09,18.58
2020-05-14,18.98
2020-05-19,19.48
2020-05-20,19.98
2020-05-22,19.98
2020-05-23,19.98
2020-05-30,19.68
2020-06-03,20.28
2020-06-05,20.88
2020-06-10,21.48
2020-06-12,21.18
2020-06-17,20.68
2020-06-19,21.28
2020-06-23,21.88
2020-06-27,21.28
2020-07-01,20.68
2020-07-03,21.28
2020-07-11,21.58
2020-07-16,21.28
2020-07-23,21.68
2020-07-30,21.28
2020-08-01,20.98
2020-08-07,21.38
2020-08-14,21.68
2020-08-18,21.68
2020-08-27,21.98
2020-09-01,21.48
2020-09-09,21.48
2020-09-11,20.98
2020-09-12,20.98
2020-09-16,20.98
2020-09-18,21.48
2020-09-22,21.98
2020-09-24,21.48
2020-09-30,21.98
2020-10-02,21.58
2020-10-10,21.78
2020-10-16,21.28
2020-10-20,21.28
2020-10-30,20.88
2020-11-04,20.38
2020-11-05,20.78
2020-11-07,21.08
2020-11-10,21.08
2020-11-12,21.58
2020-11-19,21.18
2020-11-25,21.48
2020-11-27,22.08
2020-12-15,22.48
2020-12-16,22.48
2020-12-19,22.88
2020-12-24,22.48
