date,price
2021-01-06,22.98
2021-01-09,23.28
2021-01-12,23.78
2021-01-14,23.78
2021-01-16,24.18
2021-01-19,23.98
2021-02-04,24.38
2021-02-06,24.68
2021-02-10,25.18
2021-02-17,25.18
2021-02-20,25.78
2021-03-03,25.48
2021-03-06,25.78
2021-03-09,26.38
2021-03-13,26.78
2021-03-16,26.78
2021-03-17,27.38
2021-03-18,26.98
2021-03-20,26.58
2021-03-24,26.28
2021-03-27,25.88
2021-03-31,26.38
2021-04-17,26.38
2021-04-20,26.98
2021-04-24,26.58
2021-04-30,26.98
2021-05-07,27.48
2021-05-13,27.08
2021-05-17,27.08
2021-05-19,27.58
2021-05-22,27.08
2021-05-26,27.68
2021-06-11,27.98
2021-06-16,27.98
2021-06-24,28.48
2021-06-26,28.78
2021-07-03,29.18
2021-07-10,29.18
2021-07-13,29.48
2021-07-23,28.88
2021-07-28,29.28
2021-07-30,29.68
2021-08-07,29.18
2021-08-12,29.58
2021-08-18,29.08
2021-08-21,28.48
2021-08-26,28.98
2021-09-04,28.98
2021-09-15,29.28
2021-09-16,29.28
2021-09-18,29.78
2021-09-24,30.08
2021-09-28,30.48
2021-09-30,30.88
2021-10-05,30.88
2021-10-11,30.88
2021-10-15,30.88
2021-10-16,30.88
2021-10-19,31.48
2021-10-20,31.28
2021-10-23,31.68
2021-10-28,32.28
2021-11-01,32.28
2021-11-10,32.28
2021-11-16,32.08
2021-11-19,31.78
2021-11-20,31.38
2021-11-24,30.78
2021-11-29,30.18
2021-12-01,30.18
2021-12-02,29.68
2021-12-10,30.28
2021-12-15,30.68
2021-12-22,30.38
2021-12-24,30.88
