date,price
2018-01-09,27.73
2018-01-16,27.73
2018-01-18,28.23
2018-01-27,28.23
2018-02-03,28.23
2018-02-09,27.83
2018-02-14,27.33
2018-02-16,26.83
2018-02-23,27.33
2018-03-01,27.63
2018-03-06,27.13
2018-03-16,27.13
2018-03-22,27.53
2018-03-24,27.83
2018-03-29,28.13
2018-04-06,27.73
2018-04-18,28.23
2018-04-21,27.93
2018-04-25,28.33
2018-05-01,28.73
2018-05-08,28.33
2018-05-11,28.93
2018-05-16,28.93
2018-05-17,29.43
2018-05-19,30.03
2018-05-26,29.48
2018-05-29,28.98
2018-07-07,29.38
2018-07-10,29.38
2018-07-17,28.88
2018-07-24,29.28
2018-07-27,29.78
2018-08-03,29.38
2018-08-09,29.78
2018-08-15,29.48
2018-08-16,29.48
2018-08-17,29.18
2018-08-18,29.48
2018-08-21,29.48
2018-08-22,29.48
2018-08-25,29.88
2018-08-28,29.88
2018-09-01,30.28
2018-09-04,30.28
2018-09-13,30.68
2018-09-16,30.68
2018-09-20,30.38
2018-09-26,30.88
2018-10-02,31.28
2018-10-05,31.68
2018-10-10,31.18
2018-10-13,30.68
2018-10-16,30.68
2018-10-18,30.18
2018-10-20,29.88
2018-10-25,29.58
2018-11-07,29.18
2018-11-10,28.88
2018-11-15,28.58
2018-11-16,28.58
2018-11-22,28.28
2018-11-24,28.28
2018-11-27,27.78
2018-11-29,27.78
2018-11-30,27.38
2018-12-04,27.68
2018-12-07,27.18
2018-12-13,27.18
2018-12-16,27.18
2018-12-20,26.88
2018-12-25,25.88
2018-12-27,25.48
