date,price
2016-01-08,23.43
2016-01-09,23.13
2016-01-14,23.13
2016-01-19,22.73
2016-01-30,22.73
2016-02-06,22.23
2016-02-12,21.73
2016-02-18,21.73
2016-03-01,22.23
2016-03-04,22.23
2016-03-09,22.83
2016-03-12,23.43
2016-03-17,23.03
2016-03-19,23.43
2016-03-30,23.83
2016-03-31,23.83
2016-04-02,23.43
2016-04-06,23.03
2016-04-09,23.43
2016-04-13,23.43
2016-04-21,23.43
2016-04-23,23.73
2016-04-26,24.13
2016-04-29,24.63
2016-05-05,24.23
2016-05-14,24.83
2016-05-16,24.83
2016-05-19,25.23
2016-05-31,25.23
2016-06-10,24.73
2016-06-14,24.73
2016-06-16,24.33
2016-06-18,24.03
2016-06-23,24.63
2016-06-29,24.23
2016-07-01,24.23
2016-07-12,23.63
2016-07-13,23.63
2016-07-16,23.33
2016-07-22,23.33
2016-07-27,23.33
2016-07-29,23.03
2016-08-02,22.63
2016-08-05,22.33
2016-08-09,22.93
2016-08-16,23.53
2016-08-18,24.03
2016-08-20,24.43
2016-08-26,24.43
2016-08-31,24.83
2016-09-03,24.43
2016-09-13,25.03
2016-09-16,25.03
2016-09-17,24.63
2016-10-01,25.03
2016-10-08,25.63
2016-10-14,25.63
2016-10-16,25.63
2016-10-22,25.63
2016-11-04,25.23
2016-11-09,25.03
2016-11-16,25.03
2016-11-24,25.53
2016-12-07,26.13
2016-12-10,26.53
2016-12-14,27.13
2016-12-16,27.13
