date,price
2022-01-05,31.48
2022-01-08,31.48
2022-01-11,31.88
2022-01-14,32.38
2022-01-20,32.88
2022-01-25,33.28
2022-01-28,33.78
2022-02-02,34.28
2022-02-08,34.78
2022-02-12,35.28
2022-02-16,35.88
2022-02-18,35.88
2022-02-19,35.48
2022-02-24,35.88
2022-02-26,36.28
2022-03-02,36.28
2022-03-04,36.88
2022-03-05,37.48
2022-03-08,38.08
2022-03-09,39.08
2022-03-10,39.88
2022-03-15,39.48
2022-03-17,38.48
2022-03-22,39.08
2022-03-23,39.68
2022-03-26,40.28
2022-03-29,39.78
2022-03-31,39.18
2022-04-02,38.68
2022-04-05,38.08
2022-04-08,38.58
2022-04-09,37.98
2022-04-19,38.78
2022-04-23,39.38
2022-04-27,38.58
2022-04-29,39.38
2022-05-01,39.38
2022-05-04,39.98
2022-05-06,40.78
2022-05-07,41.58
2022-05-12,41.08
2022-05-16,41.68
2022-05-19,42.68
2022-05-20,42.68
2022-05-24,43.18
2022-05-28,43.58
2022-05-31,43.58
2022-06-01,44.38
2022-06-07,43.78
2022-06-08,44.28
2022-06-14,44.88
2022-06-22,44.38
2022-06-29,44.88
2022-07-02,44.28
2022-07-08,41.28
2022-07-09,39.78
2022-07-14,39.28
2022-07-15,38.48
2022-07-19,37.98
2022-07-23,37.38
2022-07-26,36.78
2022-07-28,37.58
2022-08-02,38.38
2022-08-04,37.98
2022-08-06,37.18
2022-08-09,36.18
2022-08-16,36.78
2022-08-18,36.28
2022-08-20,36.88
2022-08-25,37.68
2022-09-02,35.68
2022-09-03,34.88
2022-09-07,35.68
2022-09-10,35.08
2022-09-14,35.58
2022-09-17,35.18
2022-09-20,34.18
2022-09-23,34.68
2022-09-27,34.08
2022-09-28,33.48
2022-09-30,33.88
2022-10-01,34.38
2022-10-08,34.88
2022-10-22,35.38
2022-10-28,35.08
2022-11-04,35.48
2022-11-05,35.88
2022-11-08,36.38
2022-11-11,35.88
2022-11-17,35.58
2022-11-22,35.18
2022-11-26,34.88
2022-11-30,34.48
2022-12-03,34.78
2022-12-07,34.48
2022-12-09,34.18
2022-12-10,33.88
2022-12-15,34.18
2022-12-16,34.48
2022-12-21,34.18
2022-12-22,34.18
