date,price
2019-01-09,25.98
2019-01-11,26.48
2019-01-14,26.48
2019-01-16,26.08
2019-01-22,26.48
2019-01-26,26.08
2019-01-30,26.08
2019-02-05,26.48
2019-02-06,26.48
2019-02-15,26.48
2019-02-16,26.48
2019-02-18,26.88
2019-02-21,27.28
2019-03-01,27.28
2019-03-02,27.68
2019-03-06,27.68
2019-03-11,28.18
2019-03-16,28.58
2019-03-29,28.98
2019-04-16,28.98
2019-04-19,29.48
2019-04-24,29.88
2019-04-27,30.18
2019-04-30,29.78
2019-05-05,29.38
2019-05-10,28.88
2019-05-16,28.88
2019-05-18,29.28
2019-05-25,28.78
2019-05-29,28.48
2019-06-01,28.08
2019-06-05,27.48
2019-06-07,27.08
2019-06-13,26.78
2019-06-16,26.78
2019-06-22,27.18
2019-06-28,27.58
2019-07-06,27.28
2019-07-10,27.58
2019-07-13,28.08
2019-07-16,28.08
2019-07-19,28.08
2019-07-25,27.78
2019-08-06,27.28
2019-08-09,26.98
2019-08-10,26.98
2019-08-16,27.48
2019-08-21,27.08
2019-09-05,26.68
2019-09-07,27.08
2019-09-11,27.38
2019-09-16,27.38
2019-09-21,27.68
2019-09-27,27.28
2019-10-01,26.88
2019-10-04,26.58
2019-10-09,26.98
2019-10-16,26.98
2019-10-19,26.58
2019-10-25,26.28
2019-10-30,26.28
2019-11-01,25.98
2019-11-07,26.48
2019-11-12,26.98
2019-11-15,27.28
2019-11-16,27.28
2019-11-20,27.28
2019-11-21,26.98
2019-11-28,26.98
2019-11-30,26.68
2019-12-05,26.68
2019-12-07,26.68
2019-12-10,27.08
2019-12-14,26.58
2019-12-16,26.58
2019-12-18,26.58
2019-12-20,26.58
2019-12-24,26.98
2019-12-26,25.98
